eeacellcode	specieskey	species	datasetkey	countrycode	basisofrecord	COUNT(*)
10kmE408N335	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	NL	HUMAN_OBSERVATION	1
10kmE272N174	3048831	Cakile maritima	4cf3eec1-b902-40c9-b15b-05c5fe5928b6	PT	HUMAN_OBSERVATION	1
10kmE274N213	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	PT	HUMAN_OBSERVATION	1
10kmE383N315	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	BE	HUMAN_OBSERVATION	4
10kmE401N329	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	1
10kmE267N191	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	4
10kmE395N328	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	5
	3048831	Cakile maritima	834c9918-f762-11e1-a439-00145eb45e9a	PT	PRESERVED_SPECIMEN	1
10kmE276N218	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	9
10kmE379N313	3048831	Cakile maritima	940821c0-3269-11df-855a-b8a03c50a862	BE	HUMAN_OBSERVATION	1
10kmE390N318	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	5
10kmE398N335	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	31
10kmE400N337	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	18
10kmE266N200	3048831	Cakile maritima	2bf7b2c0-34dc-4458-8ee4-4f99fac03b33	PT	HUMAN_OBSERVATION	3
10kmE388N316	3048831	Cakile maritima	20e3fcbb-c285-49ee-a93d-cc6ccd06ca9e	NL	HUMAN_OBSERVATION	2
10kmE393N325	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	1
10kmE268N202	3048831	Cakile maritima	7fe3eb5c-42bd-49d7-a30b-82c353ef6575	PT	HUMAN_OBSERVATION	2
10kmE382N310	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	BE	PRESERVED_SPECIMEN	1
10kmE390N318	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	12
10kmE396N332	3048831	Cakile maritima	14d5676a-2c54-4f94-9023-1e8dcd822aa0	NL	HUMAN_OBSERVATION	6
10kmE400N337	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	17
10kmE392N304	3048831	Cakile maritima	b740eaa0-0679-41dc-acb7-990d562dfa37	BE	PRESERVED_SPECIMEN	2
10kmE393N325	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	2
10kmE274N215	3048831	Cakile maritima	50c9509d-22c7-4a22-a47d-8c48425ef4a7	PT	HUMAN_OBSERVATION	3
10kmE396N332	3048831	Cakile maritima	740df67d-5663-41a2-9d12-33ec33876c47	NL	HUMAN_OBSERVATION	10
